source,topic,article_count,topic_words
centrum sentinel,8,4,capitol reception ceo sanjorge gastech building executives headquarters attend president
centrum sentinel,11,4,alarm bomb building unit construction update smoke threat afd enter
centrum sentinel,18,1,kronos blog recent jr gastech meeting noriega public kleptocracy ceo
daily pegasus,-1,1,
daily pegasus,0,7,pok government kronos protesters police violence citizens abila protests protectors
daily pegasus,3,3,nespola health minister taxes cesare increase development water oil rural
daily pegasus,10,3,reese aid bodrogi community elodis problem henk food water reynolds
daily pegasus,13,1,karel kraft charges client boat michale false police ask arrested
daily pegasus,14,4,health chronic report elodis incidence municipal published community wellness center
daily pegasus,17,3,death karel died elian body police prison justice juliana charges
daily pegasus,18,1,kronos blog recent jr gastech meeting noriega public kleptocracy ceo
daily pegasus,20,1,driver accident edris family elodis truck vehicle scene koppolis collision
daily pegasus,21,1,karel elian pok wfa government martyr jeroen juliana attention died
daily pegasus,30,1,incentives tax development investment infrastructure kronosians araullo foreign tomas interior
everyday news,0,3,pok government kronos protesters police violence citizens abila protests protectors
everyday news,7,5,gas oil energy company offshore work resources foreign tethys shale
everyday news,10,1,reese aid bodrogi community elodis problem henk food water reynolds
everyday news,12,2,drug cotton dob accused bianca drugs arrest candy designer substance
everyday news,13,1,karel kraft charges client boat michale false police ask arrested
everyday news,20,1,driver accident edris family elodis truck vehicle scene koppolis collision
everyday news,21,1,karel elian pok wfa government martyr jeroen juliana attention died
everyday news,22,1,employees kidnapping ransom tethys jr feared executive fourteen responsibility sanjorge
homeland illumination,-1,10,
homeland illumination,0,7,pok government kronos protesters police violence citizens abila protests protectors
homeland illumination,1,1,kapelou pok public threat vincent president vandalism police letters force
homeland illumination,2,6,police update pm missing arrived gastech abila conference carman employees
homeland illumination,3,3,nespola health minister taxes cesare increase development water oil rural
homeland illumination,4,8,airport plane passengers jet danisliau private second confirmed destination jets
homeland illumination,6,2,kidnapping gastech speculation kronos information reports employees department international kidnapped
homeland illumination,8,4,capitol reception ceo sanjorge gastech building executives headquarters attend president
homeland illumination,10,3,reese aid bodrogi community elodis problem henk food water reynolds
homeland illumination,11,5,alarm bomb building unit construction update smoke threat afd enter
homeland illumination,13,2,karel kraft charges client boat michale false police ask arrested
homeland illumination,14,4,health chronic report elodis incidence municipal published community wellness center
homeland illumination,17,4,death karel died elian body police prison justice juliana charges
homeland illumination,18,2,kronos blog recent jr gastech meeting noriega public kleptocracy ceo
homeland illumination,20,1,driver accident edris family elodis truck vehicle scene koppolis collision
homeland illumination,21,1,karel elian pok wfa government martyr jeroen juliana attention died
homeland illumination,30,1,incentives tax development investment infrastructure kronosians araullo foreign tomas interior
international news,-1,1,
international news,0,2,pok government kronos protesters police violence citizens abila protests protectors
international news,1,3,kapelou pok public threat vincent president vandalism police letters force
international news,2,1,police update pm missing arrived gastech abila conference carman employees
international news,3,2,nespola health minister taxes cesare increase development water oil rural
international news,5,1,port tiskele fields gastech interior international east curve today gas
international news,8,2,capitol reception ceo sanjorge gastech building executives headquarters attend president
international news,9,2,protestors spokesman gastech damage pok rally government environmental protectors entrance
international news,13,1,karel kraft charges client boat michale false police ask arrested
international news,16,1,vann edvard hours pok employee tethyn terrorist employees police members
international news,23,1,sanjorge new jr ribbon monument cut beautiful sten celebration building
international news,27,2,protestors crowd police capitol heroic pepper force demonstration ins forced
international news,30,1,incentives tax development investment infrastructure kronosians araullo foreign tomas interior
international times,-1,1,
international times,0,3,pok government kronos protesters police violence citizens abila protests protectors
international times,7,4,gas oil energy company offshore work resources foreign tethys shale
international times,10,1,reese aid bodrogi community elodis problem henk food water reynolds
international times,12,2,drug cotton dob accused bianca drugs arrest candy designer substance
international times,20,1,driver accident edris family elodis truck vehicle scene koppolis collision
international times,21,1,karel elian pok wfa government martyr jeroen juliana attention died
international times,22,1,employees kidnapping ransom tethys jr feared executive fourteen responsibility sanjorge
kronos star,-1,9,
kronos star,0,4,pok government kronos protesters police violence citizens abila protests protectors
kronos star,1,7,kapelou pok public threat vincent president vandalism police letters force
kronos star,2,10,police update pm missing arrived gastech abila conference carman employees
kronos star,3,3,nespola health minister taxes cesare increase development water oil rural
kronos star,4,2,airport plane passengers jet danisliau private second confirmed destination jets
kronos star,5,2,port tiskele fields gastech interior international east curve today gas
kronos star,6,1,kidnapping gastech speculation kronos information reports employees department international kidnapped
kronos star,8,4,capitol reception ceo sanjorge gastech building executives headquarters attend president
kronos star,9,2,protestors spokesman gastech damage pok rally government environmental protectors entrance
kronos star,11,4,alarm bomb building unit construction update smoke threat afd enter
kronos star,13,1,karel kraft charges client boat michale false police ask arrested
kronos star,16,4,vann edvard hours pok employee tethyn terrorist employees police members
kronos star,23,1,sanjorge new jr ribbon monument cut beautiful sten celebration building
kronos star,25,5,strum mr gsatech pm update answered unavailable lagos uneasy called
kronos star,27,2,protestors crowd police capitol heroic pepper force demonstration ins forced
kronos star,30,1,incentives tax development investment infrastructure kronosians araullo foreign tomas interior
modern rubicon,-1,9,
modern rubicon,2,5,police update pm missing arrived gastech abila conference carman employees
modern rubicon,4,3,airport plane passengers jet danisliau private second confirmed destination jets
modern rubicon,6,4,kidnapping gastech speculation kronos information reports employees department international kidnapped
modern rubicon,8,2,capitol reception ceo sanjorge gastech building executives headquarters attend president
modern rubicon,11,3,alarm bomb building unit construction update smoke threat afd enter
modern rubicon,16,1,vann edvard hours pok employee tethyn terrorist employees police members
modern rubicon,18,1,kronos blog recent jr gastech meeting noriega public kleptocracy ceo
modern rubicon,22,1,employees kidnapping ransom tethys jr feared executive fourteen responsibility sanjorge
modern rubicon,25,1,strum mr gsatech pm update answered unavailable lagos uneasy called
news desk,0,3,pok government kronos protesters police violence citizens abila protests protectors
news desk,1,3,kapelou pok public threat vincent president vandalism police letters force
news desk,4,1,airport plane passengers jet danisliau private second confirmed destination jets
news desk,6,2,kidnapping gastech speculation kronos information reports employees department international kidnapped
news desk,9,2,protestors spokesman gastech damage pok rally government environmental protectors entrance
news desk,12,2,drug cotton dob accused bianca drugs arrest candy designer substance
news desk,13,1,karel kraft charges client boat michale false police ask arrested
news desk,15,1,million gastech international jr sanjorge sten billion avila company shares
news desk,16,1,vann edvard hours pok employee tethyn terrorist employees police members
news desk,18,1,kronos blog recent jr gastech meeting noriega public kleptocracy ceo
news desk,19,1,wfa international water high contamination probability government hasr group tethys
news desk,20,1,driver accident edris family elodis truck vehicle scene koppolis collision
news desk,21,1,karel elian pok wfa government martyr jeroen juliana attention died
news desk,26,2,report tiskele site km government contamination people international level rural
news desk,28,1,explosion cato sunday rebecca methane spark evacuated gastech hour underground
news desk,29,2,ii party kapelou election president dorel vote democratic resounding unions
news online today,-1,4,
news online today,0,18,pok government kronos protesters police violence citizens abila protests protectors
news online today,1,10,kapelou pok public threat vincent president vandalism police letters force
news online today,2,1,police update pm missing arrived gastech abila conference carman employees
news online today,3,6,nespola health minister taxes cesare increase development water oil rural
news online today,4,1,airport plane passengers jet danisliau private second confirmed destination jets
news online today,5,5,port tiskele fields gastech interior international east curve today gas
news online today,6,2,kidnapping gastech speculation kronos information reports employees department international kidnapped
news online today,7,4,gas oil energy company offshore work resources foreign tethys shale
news online today,8,2,capitol reception ceo sanjorge gastech building executives headquarters attend president
news online today,9,5,protestors spokesman gastech damage pok rally government environmental protectors entrance
news online today,10,4,reese aid bodrogi community elodis problem henk food water reynolds
news online today,12,4,drug cotton dob accused bianca drugs arrest candy designer substance
news online today,13,3,karel kraft charges client boat michale false police ask arrested
news online today,14,4,health chronic report elodis incidence municipal published community wellness center
news online today,15,3,million gastech international jr sanjorge sten billion avila company shares
news online today,16,2,vann edvard hours pok employee tethyn terrorist employees police members
news online today,17,5,death karel died elian body police prison justice juliana charges
news online today,18,2,kronos blog recent jr gastech meeting noriega public kleptocracy ceo
news online today,19,3,wfa international water high contamination probability government hasr group tethys
news online today,20,3,driver accident edris family elodis truck vehicle scene koppolis collision
news online today,21,1,karel elian pok wfa government martyr jeroen juliana attention died
news online today,22,2,employees kidnapping ransom tethys jr feared executive fourteen responsibility sanjorge
news online today,23,3,sanjorge new jr ribbon monument cut beautiful sten celebration building
news online today,24,2,fluss sanjorge sr sten hank children centrum survived champion heart
news online today,26,2,report tiskele site km government contamination people international level rural
news online today,27,2,protestors crowd police capitol heroic pepper force demonstration ins forced
news online today,28,2,explosion cato sunday rebecca methane spark evacuated gastech hour underground
news online today,29,2,ii party kapelou election president dorel vote democratic resounding unions
news online today,30,2,incentives tax development investment infrastructure kronosians araullo foreign tomas interior
news online today,31,2,cheap developing income countries win energy growth high kronos gross
tethys news,-1,9,
tethys news,1,1,kapelou pok public threat vincent president vandalism police letters force
tethys news,2,9,police update pm missing arrived gastech abila conference carman employees
tethys news,4,2,airport plane passengers jet danisliau private second confirmed destination jets
tethys news,6,1,kidnapping gastech speculation kronos information reports employees department international kidnapped
tethys news,8,1,capitol reception ceo sanjorge gastech building executives headquarters attend president
tethys news,11,4,alarm bomb building unit construction update smoke threat afd enter
tethys news,16,3,vann edvard hours pok employee tethyn terrorist employees police members
tethys news,25,5,strum mr gsatech pm update answered unavailable lagos uneasy called
the abila post,-1,6,
the abila post,0,3,pok government kronos protesters police violence citizens abila protests protectors
the abila post,1,3,kapelou pok public threat vincent president vandalism police letters force
the abila post,2,8,police update pm missing arrived gastech abila conference carman employees
the abila post,4,5,airport plane passengers jet danisliau private second confirmed destination jets
the abila post,6,4,kidnapping gastech speculation kronos information reports employees department international kidnapped
the abila post,8,2,capitol reception ceo sanjorge gastech building executives headquarters attend president
the abila post,9,2,protestors spokesman gastech damage pok rally government environmental protectors entrance
the abila post,11,3,alarm bomb building unit construction update smoke threat afd enter
the abila post,12,2,drug cotton dob accused bianca drugs arrest candy designer substance
the abila post,13,1,karel kraft charges client boat michale false police ask arrested
the abila post,15,1,million gastech international jr sanjorge sten billion avila company shares
the abila post,16,2,vann edvard hours pok employee tethyn terrorist employees police members
the abila post,18,2,kronos blog recent jr gastech meeting noriega public kleptocracy ceo
the abila post,19,1,wfa international water high contamination probability government hasr group tethys
the abila post,20,1,driver accident edris family elodis truck vehicle scene koppolis collision
the abila post,21,1,karel elian pok wfa government martyr jeroen juliana attention died
the abila post,22,1,employees kidnapping ransom tethys jr feared executive fourteen responsibility sanjorge
the abila post,25,1,strum mr gsatech pm update answered unavailable lagos uneasy called
the abila post,26,2,report tiskele site km government contamination people international level rural
the abila post,28,1,explosion cato sunday rebecca methane spark evacuated gastech hour underground
the abila post,29,2,ii party kapelou election president dorel vote democratic resounding unions
the continent,0,3,pok government kronos protesters police violence citizens abila protests protectors
the continent,7,5,gas oil energy company offshore work resources foreign tethys shale
the continent,10,1,reese aid bodrogi community elodis problem henk food water reynolds
the continent,12,2,drug cotton dob accused bianca drugs arrest candy designer substance
the continent,13,1,karel kraft charges client boat michale false police ask arrested
the continent,20,1,driver accident edris family elodis truck vehicle scene koppolis collision
the continent,21,1,karel elian pok wfa government martyr jeroen juliana attention died
the continent,22,1,employees kidnapping ransom tethys jr feared executive fourteen responsibility sanjorge
the explainer,0,3,pok government kronos protesters police violence citizens abila protests protectors
the explainer,1,3,kapelou pok public threat vincent president vandalism police letters force
the explainer,4,1,airport plane passengers jet danisliau private second confirmed destination jets
the explainer,6,2,kidnapping gastech speculation kronos information reports employees department international kidnapped
the explainer,9,2,protestors spokesman gastech damage pok rally government environmental protectors entrance
the explainer,12,2,drug cotton dob accused bianca drugs arrest candy designer substance
the explainer,13,1,karel kraft charges client boat michale false police ask arrested
the explainer,15,1,million gastech international jr sanjorge sten billion avila company shares
the explainer,16,1,vann edvard hours pok employee tethyn terrorist employees police members
the explainer,18,1,kronos blog recent jr gastech meeting noriega public kleptocracy ceo
the explainer,19,1,wfa international water high contamination probability government hasr group tethys
the explainer,20,1,driver accident edris family elodis truck vehicle scene koppolis collision
the explainer,21,1,karel elian pok wfa government martyr jeroen juliana attention died
the explainer,26,2,report tiskele site km government contamination people international level rural
the explainer,28,1,explosion cato sunday rebecca methane spark evacuated gastech hour underground
the explainer,29,2,ii party kapelou election president dorel vote democratic resounding unions
the general post,-1,1,
the general post,5,3,port tiskele fields gastech interior international east curve today gas
the general post,6,1,kidnapping gastech speculation kronos information reports employees department international kidnapped
the general post,15,3,million gastech international jr sanjorge sten billion avila company shares
the general post,18,1,kronos blog recent jr gastech meeting noriega public kleptocracy ceo
the general post,19,2,wfa international water high contamination probability government hasr group tethys
the general post,22,1,employees kidnapping ransom tethys jr feared executive fourteen responsibility sanjorge
the general post,23,2,sanjorge new jr ribbon monument cut beautiful sten celebration building
the general post,24,2,fluss sanjorge sr sten hank children centrum survived champion heart
the general post,28,1,explosion cato sunday rebecca methane spark evacuated gastech hour underground
the general post,31,2,cheap developing income countries win energy growth high kronos gross
the guide,-1,1,
the guide,0,4,pok government kronos protesters police violence citizens abila protests protectors
the guide,1,6,kapelou pok public threat vincent president vandalism police letters force
the guide,2,1,police update pm missing arrived gastech abila conference carman employees
the guide,3,3,nespola health minister taxes cesare increase development water oil rural
the guide,5,3,port tiskele fields gastech interior international east curve today gas
the guide,8,2,capitol reception ceo sanjorge gastech building executives headquarters attend president
the guide,9,2,protestors spokesman gastech damage pok rally government environmental protectors entrance
the guide,13,1,karel kraft charges client boat michale false police ask arrested
the guide,16,1,vann edvard hours pok employee tethyn terrorist employees police members
the guide,23,1,sanjorge new jr ribbon monument cut beautiful sten celebration building
the guide,27,2,protestors crowd police capitol heroic pepper force demonstration ins forced
the guide,30,1,incentives tax development investment infrastructure kronosians araullo foreign tomas interior
the light of truth,-1,2,
the light of truth,5,3,port tiskele fields gastech interior international east curve today gas
the light of truth,6,1,kidnapping gastech speculation kronos information reports employees department international kidnapped
the light of truth,15,3,million gastech international jr sanjorge sten billion avila company shares
the light of truth,18,1,kronos blog recent jr gastech meeting noriega public kleptocracy ceo
the light of truth,19,2,wfa international water high contamination probability government hasr group tethys
the light of truth,22,1,employees kidnapping ransom tethys jr feared executive fourteen responsibility sanjorge
the light of truth,23,1,sanjorge new jr ribbon monument cut beautiful sten celebration building
the light of truth,24,2,fluss sanjorge sr sten hank children centrum survived champion heart
the light of truth,28,1,explosion cato sunday rebecca methane spark evacuated gastech hour underground
the light of truth,31,2,cheap developing income countries win energy growth high kronos gross
the orb,-1,1,
the orb,0,7,pok government kronos protesters police violence citizens abila protests protectors
the orb,3,3,nespola health minister taxes cesare increase development water oil rural
the orb,10,3,reese aid bodrogi community elodis problem henk food water reynolds
the orb,13,1,karel kraft charges client boat michale false police ask arrested
the orb,14,4,health chronic report elodis incidence municipal published community wellness center
the orb,17,3,death karel died elian body police prison justice juliana charges
the orb,18,1,kronos blog recent jr gastech meeting noriega public kleptocracy ceo
the orb,20,1,driver accident edris family elodis truck vehicle scene koppolis collision
the orb,21,1,karel elian pok wfa government martyr jeroen juliana attention died
the orb,30,1,incentives tax development investment infrastructure kronosians araullo foreign tomas interior
the truth,-1,1,
the truth,0,4,pok government kronos protesters police violence citizens abila protests protectors
the truth,1,6,kapelou pok public threat vincent president vandalism police letters force
the truth,2,1,police update pm missing arrived gastech abila conference carman employees
the truth,3,3,nespola health minister taxes cesare increase development water oil rural
the truth,5,3,port tiskele fields gastech interior international east curve today gas
the truth,8,2,capitol reception ceo sanjorge gastech building executives headquarters attend president
the truth,9,2,protestors spokesman gastech damage pok rally government environmental protectors entrance
the truth,13,1,karel kraft charges client boat michale false police ask arrested
the truth,16,1,vann edvard hours pok employee tethyn terrorist employees police members
the truth,23,1,sanjorge new jr ribbon monument cut beautiful sten celebration building
the truth,27,2,protestors crowd police capitol heroic pepper force demonstration ins forced
the truth,30,1,incentives tax development investment infrastructure kronosians araullo foreign tomas interior
the tulip,-1,2,
the tulip,5,3,port tiskele fields gastech interior international east curve today gas
the tulip,6,1,kidnapping gastech speculation kronos information reports employees department international kidnapped
the tulip,15,3,million gastech international jr sanjorge sten billion avila company shares
the tulip,18,1,kronos blog recent jr gastech meeting noriega public kleptocracy ceo
the tulip,19,2,wfa international water high contamination probability government hasr group tethys
the tulip,22,1,employees kidnapping ransom tethys jr feared executive fourteen responsibility sanjorge
the tulip,23,1,sanjorge new jr ribbon monument cut beautiful sten celebration building
the tulip,24,2,fluss sanjorge sr sten hank children centrum survived champion heart
the tulip,28,1,explosion cato sunday rebecca methane spark evacuated gastech hour underground
the tulip,31,2,cheap developing income countries win energy growth high kronos gross
the world,-1,1,
the world,5,3,port tiskele fields gastech interior international east curve today gas
the world,6,1,kidnapping gastech speculation kronos information reports employees department international kidnapped
the world,15,3,million gastech international jr sanjorge sten billion avila company shares
the world,19,2,wfa international water high contamination probability government hasr group tethys
the world,22,1,employees kidnapping ransom tethys jr feared executive fourteen responsibility sanjorge
the world,23,1,sanjorge new jr ribbon monument cut beautiful sten celebration building
the world,24,2,fluss sanjorge sr sten hank children centrum survived champion heart
the world,28,1,explosion cato sunday rebecca methane spark evacuated gastech hour underground
the world,31,2,cheap developing income countries win energy growth high kronos gross
the wrap,-1,1,
the wrap,0,7,pok government kronos protesters police violence citizens abila protests protectors
the wrap,3,3,nespola health minister taxes cesare increase development water oil rural
the wrap,10,3,reese aid bodrogi community elodis problem henk food water reynolds
the wrap,13,1,karel kraft charges client boat michale false police ask arrested
the wrap,14,4,health chronic report elodis incidence municipal published community wellness center
the wrap,17,3,death karel died elian body police prison justice juliana charges
the wrap,18,1,kronos blog recent jr gastech meeting noriega public kleptocracy ceo
the wrap,20,1,driver accident edris family elodis truck vehicle scene koppolis collision
the wrap,21,1,karel elian pok wfa government martyr jeroen juliana attention died
the wrap,30,1,incentives tax development investment infrastructure kronosians araullo foreign tomas interior
who what news,-1,2,
who what news,5,2,port tiskele fields gastech interior international east curve today gas
who what news,6,1,kidnapping gastech speculation kronos information reports employees department international kidnapped
who what news,15,2,million gastech international jr sanjorge sten billion avila company shares
who what news,19,2,wfa international water high contamination probability government hasr group tethys
who what news,22,1,employees kidnapping ransom tethys jr feared executive fourteen responsibility sanjorge
who what news,24,2,fluss sanjorge sr sten hank children centrum survived champion heart
who what news,28,1,explosion cato sunday rebecca methane spark evacuated gastech hour underground
who what news,31,2,cheap developing income countries win energy growth high kronos gross
world journal,0,3,pok government kronos protesters police violence citizens abila protests protectors
world journal,7,5,gas oil energy company offshore work resources foreign tethys shale
world journal,10,1,reese aid bodrogi community elodis problem henk food water reynolds
world journal,12,2,drug cotton dob accused bianca drugs arrest candy designer substance
world journal,13,1,karel kraft charges client boat michale false police ask arrested
world journal,20,1,driver accident edris family elodis truck vehicle scene koppolis collision
world journal,21,1,karel elian pok wfa government martyr jeroen juliana attention died
world journal,22,1,employees kidnapping ransom tethys jr feared executive fourteen responsibility sanjorge
world source,0,2,pok government kronos protesters police violence citizens abila protests protectors
world source,7,3,gas oil energy company offshore work resources foreign tethys shale
world source,10,1,reese aid bodrogi community elodis problem henk food water reynolds
world source,12,1,drug cotton dob accused bianca drugs arrest candy designer substance
world source,21,1,karel elian pok wfa government martyr jeroen juliana attention died
world source,22,1,employees kidnapping ransom tethys jr feared executive fourteen responsibility sanjorge
worldwise,-1,2,
worldwise,0,4,pok government kronos protesters police violence citizens abila protests protectors
worldwise,1,6,kapelou pok public threat vincent president vandalism police letters force
worldwise,2,1,police update pm missing arrived gastech abila conference carman employees
worldwise,3,3,nespola health minister taxes cesare increase development water oil rural
worldwise,5,3,port tiskele fields gastech interior international east curve today gas
worldwise,8,1,capitol reception ceo sanjorge gastech building executives headquarters attend president
worldwise,9,2,protestors spokesman gastech damage pok rally government environmental protectors entrance
worldwise,13,1,karel kraft charges client boat michale false police ask arrested
worldwise,16,1,vann edvard hours pok employee tethyn terrorist employees police members
worldwise,23,1,sanjorge new jr ribbon monument cut beautiful sten celebration building
worldwise,27,2,protestors crowd police capitol heroic pepper force demonstration ins forced
worldwise,30,1,incentives tax development investment infrastructure kronosians araullo foreign tomas interior
